num_ordre;ref_matiere;quantite_prevue;quantite_utilisee;unite
OF-2026-001;BOIS-001;2.5;0;m3
OF-2026-001;RES-001;10.0;0;L
OF-2026-002;BOIS-001;2.0;2.0;m3
OF-2026-002;RES-001;8.0;4.0;L
OF-2026-002;ALU-001;15.0;10.0;m2
OF-2026-003;BOIS-001;3.0;3.0;m3
OF-2026-003;RES-001;12.0;12.0;L
OF-2026-003;PEI-001;20.0;20.0;L
OF-2026-004;BOIS-002;8.0;0;m2
OF-2026-004;ALU-001;25.0;0;m2
OF-2026-004;VIS-001;200.0;0;piece
OF-2026-004;CAR-001;6.0;0;m2
OF-2026-005;CAR-001;4.0;4.0;m2
OF-2026-005;VIS-001;100.0;40.0;piece
OF-2026-005;FIL-001;5.0;2.0;bobine
OF-2026-005;MAS-001;15.0;6.0;L
OF-2026-006;BOIS-001;5.0;5.0;m3
OF-2026-006;ALU-001;40.0;40.0;m2
OF-2026-006;VIS-001;400.0;400.0;piece
OF-2026-006;ETR-001;20.0;20.0;m
OF-2026-006;PEI-001;30.0;30.0;L
OF-2024-0007;BOIS-001;2.6;0.0;m3
OF-2024-0007;RES-001;9.3;0.0;L
OF-2024-0007;VIS-001;207.0;0.0;piece
OF-2024-0007;PEI-001;17.1;0.0;L
OF-2023-0008;ALU-001;17.2;3.7;m2
OF-2023-0008;VIS-001;357.0;75.8;piece
OF-2023-0008;ETR-001;11.8;2.5;m
OF-2023-0008;PEI-001;10.9;2.3;L
OF-2023-0009;BOIS-002;9.7;9.7;m2
OF-2023-0009;ALU-001;32.9;32.9;m2
OF-2023-0009;CAR-001;6.3;6.3;m2
OF-2023-0009;VIS-001;365.3;365.3;piece
OF-2024-0010;CAR-001;3.4;3.4;m2
OF-2024-0010;VIS-001;138.8;138.8;piece
OF-2024-0010;FIL-001;4.8;4.8;bobine
OF-2024-0010;MAS-001;17.0;17.0;L
OF-2025-0011;BOIS-001;6.4;6.4;m3
OF-2025-0011;ALU-001;44.7;44.7;m2
OF-2025-0011;VIS-001;350.3;350.3;piece
OF-2025-0011;ETR-001;29.0;29.0;m
OF-2025-0011;PEI-001;35.7;35.7;L
OF-2025-0012;ALU-001;19.8;19.8;m2
OF-2025-0012;VIS-001;149.8;149.8;piece
OF-2025-0012;ETR-001;11.6;11.6;m
OF-2025-0012;PEI-001;9.0;9.0;L
OF-2024-0013;BOIS-002;5.5;5.5;m2
OF-2024-0013;ALU-001;17.6;17.6;m2
OF-2024-0013;VIS-001;166.9;166.9;piece
OF-2024-0013;MAS-001;13.9;13.9;L
OF-2024-0014;CAR-001;2.3;2.3;m2
OF-2024-0014;VIS-001;88.9;88.9;piece
OF-2024-0014;FIL-001;2.1;2.1;bobine
OF-2023-0015;BOIS-001;1.8;1.8;m3
OF-2023-0015;RES-001;9.0;9.0;L
OF-2023-0015;VIS-001;84.8;84.8;piece
OF-2023-0015;PEI-001;9.6;9.6;L
OF-2023-0016;BOIS-002;4.3;4.3;m2
OF-2023-0016;RES-001;6.4;6.4;L
OF-2023-0016;VIS-001;84.7;84.7;piece
OF-2024-0017;ALU-001;10.2;10.2;m2
OF-2024-0017;VIS-001;195.3;195.3;piece
OF-2024-0017;FIL-001;2.5;2.5;bobine
OF-2024-0017;PEI-001;14.2;14.2;L
OF-2023-0018;BOIS-001;5.7;5.7;m3
OF-2023-0018;ALU-001;26.9;26.9;m2
OF-2023-0018;VIS-001;423.2;423.2;piece
OF-2023-0018;ETR-001;33.6;33.6;m
OF-2023-0018;PEI-001;38.1;38.1;L
OF-2026-0019;BOIS-001;3.8;3.1;m3
OF-2026-0019;RES-001;10.2;8.3;L
OF-2026-0019;VIS-001;159.7;130.5;piece
OF-2026-0019;PEI-001;19.4;15.9;L
OF-2025-0020;ALU-001;29.2;29.2;m2
OF-2025-0020;VIS-001;250.3;250.3;piece
OF-2025-0020;ETR-001;18.4;18.4;m
OF-2025-0020;PEI-001;11.4;11.4;L
OF-2024-0021;BOIS-002;6.2;6.2;m2
OF-2024-0021;ALU-001;20.9;20.9;m2
OF-2024-0021;CAR-001;4.5;4.5;m2
OF-2024-0021;VIS-001;456.7;456.7;piece
OF-2023-0022;CAR-001;4.7;4.7;m2
OF-2023-0022;VIS-001;87.0;87.0;piece
OF-2023-0022;FIL-001;4.2;4.2;bobine
OF-2023-0022;MAS-001;17.6;17.6;L
OF-2023-0023;BOIS-001;5.6;5.6;m3
OF-2023-0023;ALU-001;40.3;40.3;m2
OF-2023-0023;VIS-001;553.1;553.1;piece
OF-2023-0023;ETR-001;25.1;25.1;m
OF-2023-0023;PEI-001;31.7;31.7;L
OF-2024-0024;ALU-001;19.0;19.0;m2
OF-2024-0024;VIS-001;180.2;180.2;piece
OF-2024-0024;ETR-001;9.6;9.6;m
OF-2024-0024;PEI-001;8.3;8.3;L
OF-2026-0025;BOIS-002;6.9;6.9;m2
OF-2026-0025;ALU-001;13.3;13.3;m2
OF-2026-0025;VIS-001;275.9;275.9;piece
OF-2026-0025;MAS-001;13.7;13.7;L
OF-2024-0026;CAR-001;2.6;2.6;m2
