num_ordre;num_commande;ref_bateau;date_creation;date_debut_prevue;date_fin_prevue;temps_production_estime_h;temps_production_reel_h;statut
OF-2026-001;CMD-2026-001;BAT-2026-001;2026-02-02;2026-02-10;2026-04-10;320;0;PLANIFIE
OF-2026-002;C-2026-015;BAT-2026-002;2026-01-15;2026-01-20;2026-03-20;280;145;EN_COURS
OF-2026-003;C-2026-010;BAT-2026-003;2025-11-01;2025-11-10;2026-01-10;350;350;TERMINE
OF-2026-004;CMD-2026-002;BAT-2026-004;2026-02-20;2026-03-01;2026-05-20;400;0;PLANIFIE
OF-2026-005;CMD-2026-003;BAT-2026-005;2026-03-03;2026-03-10;2026-04-25;180;40;EN_COURS
OF-2026-006;CMD-2026-004;BAT-2026-006;2025-09-15;2025-09-25;2026-01-15;520;520;TERMINE
OF-2024-0007;CMD-2023-0007;BAT-2024-0007;2025-06-29;2025-07-29;2025-09-04;299;0;PLANIFIE
OF-2023-0008;CMD-2026-0008;BAT-2023-0008;2025-09-14;2025-09-26;2025-12-03;546;116;EN_COURS
OF-2023-0009;CMD-2024-0009;BAT-2023-0009;2025-02-17;2025-03-17;2025-05-16;484;484;TERMINE
OF-2024-0010;CMD-2025-0010;BAT-2024-0010;2022-11-04;2022-11-30;2023-01-15;373;373;TERMINE
OF-2025-0011;CMD-2023-0011;BAT-2025-0011;2023-12-18;2024-01-17;2024-03-15;469;469;TERMINE
OF-2025-0012;CMD-2025-0012;BAT-2025-0012;2022-09-20;2022-10-19;2022-12-31;588;588;TERMINE
OF-2024-0013;CMD-2024-0013;BAT-2024-0013;2024-05-18;2024-06-05;2024-07-26;414;414;TERMINE
OF-2024-0014;CMD-2024-0014;BAT-2024-0014;2022-06-03;2022-07-03;2022-08-01;239;239;TERMINE
OF-2023-0015;CMD-2025-0015;BAT-2023-0015;2024-01-12;2024-02-07;2024-03-08;245;245;TERMINE
OF-2023-0016;CMD-2025-0016;BAT-2023-0016;2024-06-26;2024-07-26;2024-08-15;167;167;TERMINE
OF-2024-0017;CMD-2025-0017;BAT-2024-0017;2022-09-17;2022-10-03;2022-10-26;189;189;TERMINE
OF-2023-0018;CMD-2023-0018;BAT-2023-0018;2023-03-31;2023-04-29;2023-06-14;372;372;TERMINE
OF-2026-0019;CMD-2024-0019;BAT-2026-0019;2025-03-01;2025-03-28;2025-06-03;542;443;EN_COURS
OF-2025-0020;CMD-2023-0020;BAT-2025-0020;2024-02-01;2024-02-17;2024-04-21;515;515;TERMINE
OF-2024-0021;CMD-2025-0021;BAT-2024-0021;2024-08-03;2024-08-23;2024-09-02;82;82;TERMINE
OF-2023-0022;CMD-2024-0022;BAT-2023-0022;2022-03-21;2022-04-03;2022-04-16;107;107;TERMINE
OF-2023-0023;CMD-2025-0023;BAT-2023-0023;2024-09-28;2024-10-10;2024-12-13;513;513;TERMINE
OF-2024-0024;CMD-2024-0024;BAT-2024-0024;2025-04-28;2025-05-05;2025-05-28;190;190;TERMINE
OF-2026-0025;CMD-2025-0025;BAT-2026-0025;2022-07-28;2022-08-11;2022-08-27;135;135;TERMINE
OF-2024-0026;CMD-2024-0026;BAT-2024-0026;2024-01-10;2024-02-02;2024-03-18;362;362;TERMINE
OF-2024-0027;CMD-2024-0027;BAT-2024-0027;2022-02-20;2022-02-27;2022-05-03;525;525;TERMINE
OF-2025-0028;CMD-2025-0028;BAT-2025-0028;2025-05-05;2025-05-20;2025-08-01;588;0;PLANIFIE
OF-2024-0029;CMD-2023-0029;BAT-2024-0029;2025-05-28;2025-06-16;2025-07-16;240;0;TERMINE
OF-2024-0030;CMD-2024-0030;BAT-2024-0030;2022-06-11;2022-06-29;2022-07-17;145;145;TERMINE
OF-2025-0031;CMD-2025-0031;BAT-2025-0031;2024-04-29;2024-05-19;2024-06-10;182;182;TERMINE
OF-2023-0032;CMD-2023-0032;BAT-2023-0032;2022-04-14;2022-05-05;2022-07-16;577;577;TERMINE
OF-2024-0033;CMD-2024-0033;BAT-2024-0033;2025-01-18;2025-02-11;2025-03-01;149;149;TERMINE
OF-2025-0034;CMD-2025-0034;BAT-2025-0034;2022-12-19;2022-12-27;2023-02-07;341;341;TERMINE
OF-2025-0035;CMD-2025-0035;BAT-2025-0035;2025-05-26;2025-06-18;2025-08-30;584;76;EN_COURS
OF-2024-0036;CMD-2025-0036;BAT-2024-0036;2022-07-29;2022-08-18;2022-10-15;471;471;TERMINE
OF-2024-0037;CMD-2026-0037;BAT-2024-0037;2023-05-24;2023-06-07;2023-07-09;258;258;TERMINE
OF-2024-0038;CMD-2023-0038;BAT-2024-0038;2025-04-08;2025-05-03;2025-05-27;196;196;TERMINE
OF-2024-0039;CMD-2024-0039;BAT-2024-0039;2022-12-05;2022-12-25;2023-01-21;222;222;TERMINE
OF-2024-0040;CMD-2024-0040;BAT-2024-0040;2022-08-05;2022-08-14;2022-10-15;500;500;TERMINE
OF-2024-0041;CMD-2025-0041;BAT-2024-0041;2022-07-14;2022-08-07;2022-08-27;165;165;TERMINE
OF-2026-0042;CMD-2024-0042;BAT-2026-0042;2022-10-28;2022-11-07;2022-11-27;165;165;TERMINE
OF-2023-0043;CMD-2023-0043;BAT-2023-0043;2022-05-25;2022-06-18;2022-08-18;488;488;TERMINE
OF-2025-0044;CMD-2023-0044;BAT-2025-0044;2024-12-04;2024-12-27;2025-02-04;318;318;TERMINE
OF-2023-0045;CMD-2024-0045;BAT-2023-0045;2022-02-22;2022-03-09;2022-03-24;127;127;TERMINE
OF-2024-0046;CMD-2023-0046;BAT-2024-0046;2024-02-18;2024-03-14;2024-04-03;167;167;TERMINE
OF-2024-0047;CMD-2025-0047;BAT-2024-0047;2024-11-12;2024-12-04;2025-01-17;356;356;TERMINE
OF-2025-0048;CMD-2024-0048;BAT-2025-0048;2025-03-30;2025-04-27;2025-07-07;568;0;PLANIFIE
OF-2023-0049;CMD-2026-0049;BAT-2023-0049;2025-04-04;2025-04-24;2025-05-18;195;195;TERMINE
OF-2026-0050;CMD-2025-0050;BAT-2026-0050;2023-08-05;2023-09-02;2023-10-10;309;309;TERMINE
OF-2026-0051;CMD-2025-0051;BAT-2026-0051;2025-04-04;2025-05-02;2025-07-01;487;159;EN_COURS
OF-2024-0052;CMD-2026-0052;BAT-2024-0052;2025-06-02;2025-06-21;2025-08-19;472;378;EN_COURS
OF-2026-0053;CMD-2023-0053;BAT-2026-0053;2024-11-13;2024-11-29;2024-12-28;235;235;TERMINE
OF-2024-0054;CMD-2023-0054;BAT-2024-0054;2023-12-30;2024-01-24;2024-03-05;328;328;TERMINE
OF-2024-0055;CMD-2025-0055;BAT-2024-0055;2023-06-29;2023-07-23;2023-09-22;489;489;TERMINE
OF-2026-0056;CMD-2023-0056;BAT-2026-0056;2022-11-06;2022-11-29;2023-02-03;535;535;TERMINE
OF-2024-0057;CMD-2025-0057;BAT-2024-0057;2022-08-20;2022-09-14;2022-10-25;334;334;TERMINE
OF-2024-0058;CMD-2025-0058;BAT-2024-0058;2026-01-03;2026-01-23;2026-02-15;190;64;EN_COURS
OF-2024-0059;CMD-2023-0059;BAT-2024-0059;2022-03-31;2022-04-15;2022-06-05;408;408;TERMINE
OF-2024-0060;CMD-2024-0060;BAT-2024-0060;2023-09-11;2023-10-03;2023-10-31;228;228;TERMINE
OF-2024-0061;CMD-2025-0061;BAT-2024-0061;2025-11-28;2025-12-14;2026-01-28;360;0;PLANIFIE
OF-2026-0062;CMD-2026-0062;BAT-2026-0062;2022-05-14;2022-06-06;2022-07-02;209;209;TERMINE
OF-2023-0063;CMD-2024-0063;BAT-2023-0063;2025-01-24;2025-02-17;2025-02-27;82;82;TERMINE
OF-2024-0064;CMD-2023-0064;BAT-2024-0064;2024-04-27;2024-05-20;2024-06-12;187;187;TERMINE
OF-2025-0065;CMD-2024-0065;BAT-2025-0065;2023-06-27;2023-07-21;2023-09-23;512;512;TERMINE
